,mes,ano,ano_mes,estoque,exportacao,processamento,compra_liquida,saldo,producao,chicago_cbot_u$/t,fob_porto_paranagua_u$/t,maringa_r$/saca,mogiana_r$/saca,passofundo_r$/saca,rondonopolis_r$/saca
0,Jan,1987,1987-01-01,0.0,0.0,555.0,0.0,-555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fev,1987,1987-02-01,0.0,0.0,647.0,655.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Mar,1987,1987-03-01,0.0,0.0,1028.0,2207.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Abr,1987,1987-04-01,0.0,0.0,1625.0,3571.0,1946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Mai,1987,1987-05-01,0.0,0.0,1756.0,2765.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Jun,1987,1987-06-01,0.0,0.0,1737.0,1446.0,-291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Jul,1987,1987-07-01,0.0,0.0,1746.0,773.0,-973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Ago,1987,1987-08-01,0.0,0.0,1552.0,545.0,-1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Set,1987,1987-09-01,0.0,0.0,1242.0,406.0,-836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Out,1987,1987-10-01,0.0,0.0,878.0,280.0,-598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Nov,1987,1987-11-01,0.0,0.0,616.0,208.0,-408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Dez,1987,1987-12-01,0.0,0.0,564.0,459.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jan,1988,1988-01-01,0.0,0.0,429.0,291.0,-138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
