,mes,ano,ano_mes,estoque,exportacao,processamento,compra_liquida,importacao,saldo,producao,chicago_cbot_u$/t,fob_porto_paranagua_u$/t,maringa_r$/saca,mogiana_r$/saca,passofundo_r$/saca,rondonopolis_r$/saca,usdbrl
0,1,1996,1996-01-01,,,,,,,,273.661440975,285.236245125,15.33,14.17,15.02,12.53,0.9727
1,2,1996,1996-02-01,,,,,,,,268.958028495,277.703436075,13.67,13.94,13.64,11.57,0.9782
2,3,1996,1996-03-01,,,,,,,,267.392674029,274.558028979,12.38,13.06,13.38,10.25,0.9842
3,4,1996,1996-04-01,,,,,,,,291.369054054,300.922860654,14.04,14.04,14.33,11.68,0.985
4,5,1996,1996-05-01,,,,,,,,296.120235567,305.343333477,14.44,14.61,15.22,12.41,0.9905
5,6,1996,1996-06-01,,,,,,,,283.906061283,289.601599833,13.97,13.87,14.71,11.77,1.018
6,7,1996,1996-07-01,,,,,,,,282.590575605,289.388476455,14.28,14.23,14.89,11.74,1.016
7,8,1996,1996-08-01,,,,,,,,291.369054054,307.672992471,15.44,14.84,16.05,12.3,1.0205
8,9,1996,1996-09-01,,,,,,,,293.066691996,309.602126496,18.19,17.75,18.25,15.14,1.0158
9,10,1996,1996-10-01,,,,,,,,259.628368896,278.368527996,17.56,17.61,17.77,15.16,1.0305
10,11,1996,1996-11-01,,,,,,,,256.185323979,264.269314179,17.87,17.63,18.18,15.76,1.05
11,12,1996,1996-12-01,,,,,,,,256.920232179,265.555403529,17.85,17.79,17.83,15.8,1.033
12,1,1997,1997-01-01,,14.03,,,,,,266.69818578,275.2231209,16.47,16.73,16.71,14.49,1.052
13,2,1997,1997-02-01,,17.095,,,57.663777,,,281.539656879,285.533882946,15.65,15.64,16.95,13.13,1.0455
14,3,1997,1997-03-01,,550.1575539999999,,,32.0,,,308.455669704,303.403175829,15.98,16.11,17.09,13.42,1.05
15,4,1997,1997-04-01,,1598.8864489999996,,,167.0,,,314.09976468,304.6194489,16.66,16.84,17.42,14.23,1.0701
