periodo,Estoque Inicial,Produção,Importação,Sementes/Outros,Exportação,Processamento,Estoque Final
1999,2086,31377,582,1310,8911,21476,2349
2000,2349,34127,807,1367,11517,21180,3218
2001,3218,39058,850,1450,15676,23104,2897
2002,2897,42769,1045,1660,15960,25760,3331
2003,3331,51875,1189,1880,19873,27447,7194
2004,7194,50085,348,2056,19177,28706,7688
2005,7688,53053,368,2211,22297,29860,6741
2006,6741,56942,49,2189,24888,28332,8323
2007,8323,58726,98,2120,23665,31485,9877
2008,9877,59936,96,2179,24499,32325,10906
2009,10906,57383,99,2159,28563,30426,7240
2010,7240,68919,118,2128,29073,35506,9570
2011,9570,75248,41,2218,32976,37270,12396
2012,12396,67920,268,2230,32906,36434,9014
2013,9014,81593,283,2444,42796,36238,9412
2014,9412,86397,579,2626,45692,37622,10448
2015,10448,96994,324,2821,54324,40556,10065
2016,10065,96199,382,2874,51582,39531,12659
2017,12659,113804,254,3013,68155,41837,13712
2018,13712,123081,187,3134,83258,43556,7032
2019,7032,120751,144,3176,74073,43454,7224
2020,7224,127989,822,3307,82973,46845,2910
2021,2910,138856,864,3482,86108,47781,5259
2022,5259,129944,419,2254,78730,50932,3706
2023,3706,160300,181,2291,101870,54165,5861
2024,5861,153500,822,2779,98815,55400,3189
2025,3190,171700,500,2835,106100,57500,8955
