ano,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Jan,0,291,117,276,431,328,346,474,357,420,234,350,398.4,619.553,678,655.05229,492.9384992,1012.517635,988.8951112,1258.016342,1309.348665,612.9211417,975.6308871,2479.163638,1004.564559,1627.211814,2058,2469.914281,3111.369124,2715.461808,4326,4083,7319,5312,2017,4809,5516,4596
Fev,655,511,355,548,646,512,792,867,1029,1207,2104,1344,1562,1461.097,1540.914431,2266.417255,2665.143418,2982.376424,3699.082883,3349.241171,5650.669488,4884.363917,5134.641898,8159.875142,6703.504208,8340.899238,8543.369398,8897.281334,7219.608673,10883.7749,11480,10081,13492,15570,12732,13582,15161,10980
Mar,2207,2969,1708,2325,1799,1958,2836,3191,4750,4115,4865,4707,5626.6,5339.889,6247.334927,7903.425423,8573.807314,10133.41673,9674.686694,8444.999919,10915.8062,10718.53572,8960.195012,9747.846367,12277.94548,10705.286,9620.245934,8110.228436,11302.75258,10219.98848,10084,13727,9991,14160,19129,14823,17309,10189
Abr,3571,3703,4582,3099,2683,3976,3915,4775,5700,5373,4946,6030,5434,6664,6696.803578,7905.544954,9079.421101,7590.583371,8950.516334,7444.896533,6301.199508,8458.527041,8223.77389,5090.134196,6899.184613,7297.389982,5411.568338,5208.35544,6851.398606,4528.227868,3464,6076,4118,5336,6029,3959,5097,8360
Mai,2765,2236,2420,2094,2145,2423,2261,2248,2753,2813,2285,2670,1977,2184,2109.844291,1701.206703,1815.500136,2053.789665,3026.387064,2961.346454,2454.58208,3066.345469,3069.737776,1759.499289,2324.479681,2986.102955,2387.467958,2889.142468,2895.114543,2725.679764,1805,557,1443,1749,502,2792,2057,3582
Jun,1446,1358,832,1386,1357,1292,1343,1520,1317,1434,932,1767,1160,524,1094.694232,886.2014894,392.7275371,526.9532545,590.2996896,899.8156422,711.9469552,1248.646244,412.8181806,2046.169252,1447.659771,1744.784083,1037.222189,1011.075828,1609.808814,1486.556616,806,1161,932,432,413,846,885,1156
Jul,773,878,1406,1260,1015,980,1133,1117,1082,1286,599,1376,819,131,731.7138669,1047.316259,-13.67662754,284.3621781,476.2752419,597.0756174,853.6162427,10.06793035,347.5586474,1717.562802,1141.78212,230.0073369,493.6964168,603.801242,1366.834997,302.3004259,1361,1865,1231,384,-512,1089,1119,1817
Ago,545,616,1535,1171,944,755,1123,1218,1234,1160,819,1062,957,634,398.1207736,564.7923144,304.7950011,67.89620783,252.5884324,1489.916816,891.0988434,393.0244475,83.48009631,850.0935695,1359.608173,507.7727126,1189.051786,1624.575419,1178.501906,878.7101093,763,1828,1514,966,1348,1595,2373,1065
Set,406,432,836,918,697,804,860,846,1140,936,636,752,1027,856,870.8723587,545.9841366,884.044673,529.9032979,462.3093729,749.932818,773.539957,324.4298492,410.4084513,906.38675,1827.136487,332.6878841,1706.734405,1664.91612,1744.035878,1458.560765,2498,2195,1474,279,1527,1616,2049,2014
Out,280,440,1027,574,579,675,741,737,1040,616,397,834,1088,949,838.2080295,956.1932368,1237.145982,1137.747049,658.8065624,724.1934441,603.4520842,725.2966013,416.1722024,1551.263199,1577.318295,554.2045707,1542.774377,2127.813318,1909.325761,1836.757218,2326,1868,1410,310,2174,1537,1455,1682
Nov,208,298,852,808,541,547,770,824,718,367,449,660,706,1172,838.8573344,855.4814908,1460.145508,1165.269064,588.0344822,1147.67755,628.5372597,685.7774873,553.3092918,1566.815273,768.8697458,342.7682173,1290.784253,1613.457683,1129.168499,2057.607627,2463,334,733,684,2087,2217,2265,1688
Dez,459,224,662,604,302,515,569,937,629,347,515,494.4,504,955,662.8890259,669.7101158,1214.462829,1107.429242,531.3970424,706.9054885,851.5993666,368.696815,466.1552582,829.6706791,716.8580039,316.7363366,1542.774377,1203.856567,284.9374698,1113.891097,1348,-675,521,746,1299,1975,1306,1466
