ano,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Jan,459.153,429,340.876573,294.0234517,1124.101582,778.9742879,1219.736544,2288.916669,2027.061211,1991.341991,1769.245691,1297.881079,2705.55839,1893,2208.073916,2077.7433,1946.173424,3797,4115,6969,5646,1806,5004,5329,6703
Fev,888,680.3436038,1170.053509,1621.102003,2390.08015,2515.142557,2678.856801,5771.047343,4893.516781,4826.890568,7472.718521,5491.036867,8025.517288,8049.86167,8668.089724,6403.376419,9536.568624,12218,10983,17186,17808,11440,14881,16785,14031
Mar,4354,5011.85767,6941.50561,7832.86025,10062.53592,9418.818022,8902.474899,13994.26487,12982.53611,11034.16321,13944.22736,14582.88797,15195.27215,14409.32205,13424.95797,14139.21975,15912.34933,18522,20658,23272,27730,26253,25059,29084,19841
Abr,8645,9437.027281,12484.48497,14349.09146,14857.56911,15387.76308,13733.3155,17504.89566,18470.32123,16257.91908,15611.58807,17946.55552,18839.20429,16216.92296,15101.42765,17229.98348,16346.4007,18183,22628,23357,28767,27805,24415,29408,23848
Mai,8445,9204.770892,11705.43216,13397.79041,14038.00521,15397.49779,14178.25345,16977.05296,18395.58702,16050.48345,13838.46006,16618.14523,18026.18707,14808.51934,14215.93583,16138.18841,15106.2339,16176,19556,20889,26073,23730,22420,26422,23142
Jun,6865,8127.536195,10080.9386,11154.48117,11712.85483,13183.17206,12381.73635,14811.71454,16548.04927,13264.13379,12510.2873,14518.09541,16235.3885,12381.95193,11648.69806,13994.83189,12946.78516,13391,16715,17909,22220,19707,18736,22377,20017
Jul,4991,6642.539093,8517.729972,8447.609612,9098.511738,10969.92652,10281.70533,12670.53543,13304.13065,10618.23451,10747.7045,12208.703,13195.72055,9519.518761,8819.584735,11551.97805,9746.135325,10889,14452,15238,18252,14716,15045,18397,17397
Ago,3829,4841.879475,6522.405169,5971.611825,6451.689116,8711.964926,8975.330115,10572.53262,10747.82412,7805.543393,8341.578292,10495.44541,10418.21728,7401.999957,7041.729944,9149.565542,7608.69324,8202,12335,13306,15112,12046,12020,15849,14094
Set,2972,3672.995486,4797.385239,4305.79747,4426.770517,6615.857194,7303.499778,8635.115652,8318.147988,5846.802926,6338.263708,8941.372777,7694.290123,6121.457473,5625.42661,7415.710242,6190.719419,7373,10878,11300,11409,9659,9564,13451,11915
Out,2181,2424.822755,3298.491181,3030.820961,3218.590401,4781.972505,5418.469353,6576.467377,6261.691475,3892.696245,4867.574674,7134.002276,5570.731151,4631.109541,4794.72469,5927.02201,4931.371423,6058,9263,8905,7595,7732,6996,10618,9149
Nov,1612,1397.537506,1931.461209,2185.901605,2215.392896,3062.830582,4172.237636,4721.604587,4298.483661,2300.326594,3485.147353,5006.837758,3451.565547,3074.24701,3244.746204,3968.756773,4006.740946,5087,6300,6165,4968,5990,5193,8644,6693
Dez,969,572.7413371,770.4759428,1429.818542,1315.951248,1355.70019,2797.932113,3258.72133,2430.076032,1057.346431,2255.47983,3034.338415,1586.232137,1478.10133,1484.576891,1530.960312,2207.911865,3093,2544,3268,2350,3315,3223,5651,3940
