periodo,Chicago - CBOT (US$/t),FOB Porto - Paranaguá (US$/t),Maringá / PR - R$/saca (sem ICMS),Mogiana / SP - R$/saca (sem ICMS),Passo Fundo / RS - R$/saca (sem ICMS),Rondonopolis / MT - R$/saca (sem ICMS)
jan/96,273.661441,285.2362451,15.33,14.17,15.02,12.53
fev/96,268.9580285,277.7034361,13.67,13.94,13.64,11.57
mar/96,267.392674,274.558029,12.38,13.06,13.38,10.25
abr/96,291.3690541,300.9228607,14.04,14.04,14.33,11.68
mai/96,296.1202356,305.3433335,14.44,14.61,15.22,12.41
jun/96,283.9060613,289.6015998,13.97,13.87,14.71,11.77
jul/96,282.5905756,289.3884765,14.28,14.23,14.89,11.74
ago/96,291.3690541,307.6729925,15.44,14.84,16.05,12.3
set/96,293.066692,309.6021265,18.19,17.75,18.25,15.14
out/96,259.6283689,278.368528,17.56,17.61,17.77,15.16
nov/96,256.185324,264.2693142,17.87,17.63,18.18,15.76
dez/96,256.9202322,265.5554035,17.85,17.79,17.83,15.8
jan/97,266.6981858,275.2231209,16.47,16.73,16.71,14.49
fev/97,281.5396569,285.5338829,15.65,15.64,16.95,13.13
mar/97,308.4556697,303.4031758,15.98,16.11,17.09,13.42
abr/97,314.0997647,304.6194489,16.66,16.84,17.42,14.23
mai/97,319.0420223,307.4231237,17.32,17.23,17.71,14.89
jun/97,299.3611807,288.4294213,17.05,16.9,17.22,14.95
jul/97,257.9527782,283.8582923,16.53,15.97,16.82,14.33
ago/97,243.8535644,285.3758777,17.86,17.24,18.12,15.58
set/97,234.8252171,289.9433321,19.34,18.78,19.12,16.66
out/97,248.5826987,303.7008137,18.86,19.03,18.83,16.85
nov/97,266.9554037,322.0735187,20.21,18.9,20.56,16.97
dez/97,253.0840114,308.2021264,20.03,19.09,19.74,17.11
jan/98,246.6756119,301.7956119,17.44,18.09,17.96,14.65
fev/98,247.5501526,276.9501526,15.57,14.63,16.47,13.45
mar/98,241.2813857,237.6068447,13.92,13.95,14.75,11.65
abr/98,235.32,231.75,13.66,13.41,14.12,11.16
mai/98,234.5496266,233.5391278,14.11,13.48,14.37,11.62
jun/98,231.7275791,229.302382,13.77,13.26,13.9,11.46
jul/98,227.9317782,225.9475261,13.71,12.93,13.8,11.5
ago/98,196.6357125,213.171147,13.38,13.16,13.28,11.21
set/98,192.5018539,218.2236409,14.1,13.79,14.13,12.11
out/98,199.4173401,227.8950328,14.53,14.16,14.37,12.68
nov/98,211.6535616,211.6535616,14.68,14.25,14.88,12.91
dez/98,205.8845322,205.8845322,14.26,13.84,14.14,11.91
jan/99,195.599492,198.9984424,15.02,14.64,14.72,13.56
fev/99,178.4448973,174.0354481,17.87,17.39,17.67,15.16
mar/99,177.0210127,169.3044766,16.74,16.78,17.4,14.39
abr/99,177.7338736,170.7522457,15.28,15.36,15.94,13.02
mai/99,171.6488337,167.5149751,15.29,15.2,15.72,13.2
jun/99,169.9695685,172.1742931,16.01,15.93,16.31,13.82
jul/99,159.037809,166.9380722,15.65,15.64,15.82,13.83
ago/99,167.5370224,170.7522457,17.74,17.09,17.37,15.01
set/99,177.7559209,183.0472599,20.45,19.98,20.65,16.8
out/99,178.3254747,178.3254747,21.38,20.84,21.68,18.33
nov/99,170.2231118,170.2231118,20.42,20.45,20.6,17.91
dez/99,169.9107758,169.9107758,19.56,19.09,19.48,16.54
jan/00,182.7643203,182.7643203,19.67,18.52,19.86,16.97
fev/00,185.3805935,188.6876804,19.19,18.63,19.21,16.51
mar/00,190.4882054,187.6220635,17.61,17.75,18.22,15.03
abr/00,197.1868937,193.7879433,18.02,17.91,18.27,15.49
mai/00,200.9532982,197.6462113,18.98,18.52,19.3,15.93
jun/00,186.593192,190.3412238,18.17,17.88,18.61,15.03
jul/00,170.2451591,179.7989657,17.25,17.18,17.72,14.56
ago/00,168.0882035,180.1223253,17.32,17.03,17.35,14.64
set/00,179.4572334,186.1632707,18.58,18.09,18.94,15.83
out/00,173.8057893,179.1338738,18.73,18.15,18.91,16.07
nov/00,177.7742936,177.7742936,19.47,18.87,19.8,16.96
dez/00,184.9690449,184.9690449,21.81,20.47,22,19.14
