ano,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Jan,555,429,376,680,873,658,635,827,701,991,634,692,651,820.4846477,1218,887.4166801,969.3909903,1318.234595,1525.872072,1393.979988,1818.364109,1844.581261,1414.364928,1767.264378,1962.16331,1955.991838,1751,1943.895451,2518.202715,2300.248696,2737,3061,2894,2934,2562,3119,3411,3478
Fev,647,421,355,599,658,597,655,844,754,941,932,907,891.5214088,1032.097,1289.570827,1436.880719,1338.082109,1716.296274,1962.940325,1890,2168.622145,2017.847136,2298.751329,2456.156621,2510.467341,3021.38195,2386.507728,2437.265526,2893.975554,3293.379698,3058,3214,3276,3408,3097,3705,3704,3652
Mar,1028,1159,860,1051,883,1007,1259,1330,1689,1602,1782,1717,1799.804677,1873.889,1915.477861,2132.175322,2362.049067,2460.960961,2771.011229,2221,2692.588679,2629.516383,2752.922368,3276.337524,3186.094378,3535.531142,3260.785554,3353.360185,3566.909248,3844.207773,3780,4051,3905,4238,4317,4645,5011,4378
Abr,1625,1715,1628,1590,1367,1722,1827,1846,2109,2199,2227,2315,2317.327093,2373,2271.568967,2362.767593,2563.189889,2795.550182,2981.571279,2614,2790.568719,2970.74192,3000.018019,3422.77349,3535.517065,3653.457836,3603.967433,3531.885763,3760.63487,4094.176504,3803,4107,4033,4299,4477,4604,4772,4353
Mai,1756,1493,1741,1620,1769,1957,1912,2189,2359,2379,2443,2506,2483.898073,2384,2342.10068,2480.259514,2766.801191,2873.353569,3016.652348,2516,2982.424778,3141.079686,3277.173406,3532.627304,3652.889967,3799.120177,3795.871577,3774.634289,3986.90962,3965.846565,3812,3629,3911,4444,4577,4786,5043,4289
Jun,1737,1479,1442,1507,1459,1752,1782,2163,2252,2174,2386,2497,2234.565411,2104,2171.928929,2510.695055,2636.036777,2852.103626,2804.625419,2696,2877.285369,3096.183987,3199.167843,3374.342006,3547.709587,3535.582656,3463.789598,3578.313596,3753.165332,3646.005351,3591,4001,3912,4285,4436,4531,4930,4281
Jul,1746,1535,1751,1692,1240,1650,1732,1966,2198,2229,2203,2436,2045.994491,2005,2216.710969,2610.524883,2693.194927,2898.705275,2689.520784,2697,2994.795359,3253.986551,2993.457929,3480.145601,3451.174535,3269.675281,3356.129584,3432.91457,3809.688831,3502.950263,3863,4128,3903,4352,4479,4781,5099,4437
Ago,1552,1393,1886,1413,1218,1511,1691,1920,2143,2112,2016,2238,2120.375243,1796,2198.446738,2560.117117,2780.792788,2714.71883,2510.550028,2796,2989.101646,2949.330977,2896.171213,3256.21978,3072.865765,3285.275984,3306.570589,3402.430209,3580.914419,3016.152194,3450,3945,3446,4106,4018,4619,4921,4368
Set,1242,1269,1669,1421,1061,1343,1475,1743,1950,1922,1509,1884,1947.518565,1713,2038.702361,2271.004067,2549.859028,2554.821897,2558.417105,2422,2710.956928,2754.105985,2369.148918,2909.701334,3381.209117,3056.615044,2987.276889,3081.219455,3477.891178,2876.534585,3326,3652,3480,3982,3914,4072,4447,4194
Out,878,1222,1666,1308,1040,1039,1370,1558,1897,1626,1116,1808,1880.471127,1740,2086.374489,2455.087295,2512.122491,2345.927165,2492.69125,2609,2662.10036,2781.753114,2370.278884,3021.952233,3384.688796,2677.763543,3033.12231,2958.515238,3398.013993,3096.105214,3641,3483,3804,4123,4101,4106,4289,4447
Nov,616,1002,1398,1305,959,859,1261,1352,1778,1320,873,1569,1779.899969,1741,1866.142584,2222.511462,2305.064864,2168.466569,2307.136406,2394,2483.400049,2648.985302,2145.678943,2949.242594,2896.034264,2461.933821,2847.646784,3163.436168,3087.433736,2982.238105,3435,3297,3473,3312,3830,4020,4238,4145
Dez,564,612,1113,1056,745,684,980,1124,1479,945,765,1304,1323.139294,1598,1488.772195,1830.695382,1970.545892,2006.870889,2238.527434,2081,2314.482624,2237.104444,1709.135421,2059.338202,2689.357347,2181.576971,2444.770868,2964.02588,2722.733931,2912.720178,3342,2988,3418,3364,3974,3944,4299,4218
